"","CN","PLT_CN","PREV_TRE_CN","INVYR","CYCLE","STATECD","UNITCD","COUNTYCD","PLOT","SUCP","cycle_aw","SUBP","TREE","CONDID","PREVCOND","STATUSCD","SPCD","SPGRPCD","DIA","DIACALC","DIAHTCD","HT","HTCD","AGENTCD","BHAGE","CCLCD","DECAYCD"
"108",51623043020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",1,1,1,NA,1,"122",11,9.1,9.1,1,33,1,NA,39,3,NA
"109",51623044020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",1,2,1,NA,1,"202",10,11.1,11.1,1,53,1,NA,64,3,NA
"110",51623045020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",1,3,1,NA,1,"202",10,7,7,1,33,1,NA,61,3,NA
"111",51623046020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",1,4,1,NA,1,"814",48,13.3,13.3,2,29,1,NA,NA,4,NA
"112",51623047020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",1,5,1,NA,1,"202",10,12.8,12.8,1,51,1,NA,71,3,NA
"113",51623048020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",1,6,1,NA,1,"202",10,13.5,13.5,1,56,1,NA,NA,2,NA
"114",51623049020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",1,7,1,NA,1,"122",11,6.6,6.6,1,39,1,NA,61,4,NA
"115",51623050020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",1,8,1,NA,1,"122",11,20.1,20.1,1,42,1,NA,172,2,NA
"116",51623052020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",2,1,1,NA,1,"122",11,8,8,1,27,1,NA,NA,2,NA
"117",51623053020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",2,2,1,NA,2,"746",44,NA,8.1,1,NA,NA,50,NA,NA,NA
"118",51623054020004,39635087010690,NA,2005,"3",35,1,6,81379,"35_1_6_81379","2",3,1,1,NA,2,"814",48,5.8,5.8,2,14,1,50,NA,NA,2
