"","SUCP","STATECD","SPCD","cycle_aw","STATUSCD","SizeClass","Treecount","ExpanFactor","TPA","DSTRBCD1","DSTRBYR1","Fire"
"122","35_2_7_92045","NewMexico",122,"2",1,"A",2,74.96528,149.93056,NA,NA,"0"
"123","35_2_7_92048","NewMexico",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
"124","35_2_7_92048","NewMexico",122,"2",1,"A",2,74.96528,149.93056,NA,NA,"0"
"125","35_2_7_92239","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"126","35_2_7_92239","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"127","35_3_17_82916","NewMexico",122,"1",1,"A",0,74.96528,0,NA,NA,"1"
"128","35_3_17_82916","NewMexico",122,"2",1,"A",1,74.96528,74.96528,"1",2012,"1"
"129","35_3_17_87605","NewMexico",122,"1",1,"A",3,74.96528,224.89584,NA,NA,"0"
"130","35_3_17_87605","NewMexico",122,"2",1,"A",2,74.96528,149.93056,NA,NA,"0"
"131","35_3_17_92268","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"132","35_3_17_92268","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"133","35_3_3_80696","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"1"
"134","35_3_3_80696","NewMexico",122,"2",1,"A",1,74.96528,74.96528,"1",2013,"1"
"135","35_3_3_80982","NewMexico",122,"1",1,"A",5,74.96528,374.8264,NA,NA,"0"
"136","35_3_3_80982","NewMexico",122,"2",1,"A",5,74.96528,374.8264,NA,NA,"0"
"137","35_3_3_81017","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"138","35_3_3_81017","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"139","35_3_3_81445","NewMexico",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
"140","35_3_3_81445","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"141","35_3_3_81880","NewMexico",122,"1",1,"A",7,74.96528,524.75696,NA,NA,"0"
